Map,Lot,Unit,Price,Sale Date,Land area,Assessed,Style,Page,Line
"From H Quinton photos of pages from Assessors Manual, 12Jan2022",,,,,,,,,
408,37,,0,2021-06-02,3.45,663100,Antique,1,1
416,10,,,2021-05-25,44.5,1404700,Antique,1,2
201,85,,,2021-02-23,0.7,406300,Antique,1,3
408,2,,,2020-12-14,41.97,714600,Antique,1,4
201,12,1000,435000,2020-07-23,0.37,301600,Antique,1,5
402,3,,,2020-07-13,37.3,591900,Antique,1,6
407,88,,369000,2019-10-25,3.15,345000,Antique,1,7
404,16,,500000,2019-10-09,103,533400,Antique,1,8
405,8,,900000,2019-09-11,4.06,856200,Antique,1,9
407,72,,,2019-08-23,19.33,520600,Antique,1,10
201,79,1000,,2019-06-06,22,358900,Antique,1,11
408,73,,789000,2021-09-01,2.41,630000,Cape Cod,1,12
421,18,,725000,2021-07-16,76.33,390600,Cape Cod,1,13
403,18,,600000,2021-06-18,0.15,325300,Cape Cod,1,14
409,24,,525000,2021-06-08,6.9,380500,Cape Cod,1,15
415,14,,,2021-05-06,5.28,724800,Cape Cod,1,16
405,31,,260000,2021-02-08,3,349100,Cape Cod,1,17
407,63,,,2021-02-08,9.32,551300,Cape Cod,1,18
403,23,,185000,2020-03-30,0.58,281900,Cape Cod,1,19
402,47,,280000,2020-01-30,0.34,315400,Cape Cod,1,20
411,5,,375000,2019-06-25,7.4,385800,Cape Cod,1,21
415,16,,,2019-04-18,6.11,847300,Cape Cod,1,22
401,14,,303000,2020-08-31,0.83,357500,Colonial,1,23
407,113,,,2019-09-11,47.7,689000,Colonial,1,24
401,55,104,390000,2021-09-01,0,377100,Condominium,1,25
413,31,,,2021-06-23,2,333100,Conventional,1,26
409,83,,163900,2020-12-31,0.47,200600,Conventional,1,27
402,34,,,2020-05-13,2.9,339800,Conventional,1,28
415,20,3000,0,2020-02-10,9.13,673200,Conventional,1,29
414,38,,187500,2020-01-06,22,321500,Conventional,1,30
201,99,,365000,2019-09-19,1.71,393700,Conventional,1,31
409,68,,,2021-01-25,5.9,356200,Family Conversion,1,32
201,31,1000,640000,2020-09-15,3.08,576700,Family Conversion,1,33
404,32,,,2020-03-09,122.5,610500,Family Conversion,2,1
409,95,,2667,2021-08-09,4.4,220800,Mobile Home,2,2
401,29,,,2021-06-22,6.1,267700,Mobile Home,2,3
410,79,,2800,2021-05-25,7.9,220100,Mobile Home,2,4
405,22,2000,160000,2020-05-25,2.4,207000,Mobile Home,2,5
415,17,,775000,2021-07-20,5.28,686800,Modern/Contemporary,2,6
403,1,,,2021-05-11,54.32,832200,Modern/Contemporary,2,7
420,22,,,2021-05-03,73.67,592900,Modern/Contemporary,2,8
407,60,5000,,2021-05-22,9.55,646500,Modern/Contemporary,2,9
402,18,2000,,2021-04-09,15.78,694700,Modern/Contemporary,2,10
414,62,,,2021-01-14,19.9,375600,Modern/Contemporary,2,11
408,36,,,2021-01-11,9.4,446700,Modern/Contemporary,2,12
415,10,,0,2020-11-10,35,1092900,Modern/Contemporary,2,13
405,1,,,2020-06-11,2.92,341000,Modern/Contemporary,2,14
408,40,,500000,2020-06-11,16,662000,Modern/Contemporary,2,15
410,12,,,2020-04-30,2.26,635400,Modern/Contemporary,2,16
405,42,2000,1525000,2019-10-17,55,1378800,Modern/Contemporary,2,17
407,76,1000,167000,2019-07-12,15.03,703300,Modern/Contemporary,2,18
407,29,,385000,2019-04-05,12.2,463000,Modern/Contemporary,2,19
407,79,,,2020-04-01,5.45,281300,Raised Ranch,2,20
406,3,,307000,2021-09-02,3.5,261800,Ranch,2,21
408,31,,345000,2021-08-27,4.29,365300,Ranch,2,22
408,3,,412000,2021-08-12,1.4,236800,Ranch,2,23
405,32,,288800,2021-05-28,0.93,364900,Ranch,2,24
406,10,,,2020-11-09,2.5,435600,Ranch,2,25
402,82,,,2020-08-24,2.1,342200,Ranch,2,26
405,16,,95000,2020-08-21,0.98,270900,Ranch,2,27
201,12,2000,435000,2020-07-23,0.05,154000,Ranch,2,28
406,14,,245000,2020-04-21,5.81,308500,Ranch,2,29
409,31,,141000,2019-06-03,1.1,160200,Ranch,2,30
402,4,1,,2020-01-10,0,131100,Service/Shops,2,31
201,29,,775000,2019-09-30,2.2,719200,Store/Office/Apartment,2,32
408,19,,219000,2021-08-12,6.2,500000,,2,33
421,21,,2500000,2021-03-21,207.33,6400,,2,34
410,46,2000,,2021-01-29,22.45,800,,3,1
100,10,,1,2021-01-01,0,415200,,3,2
401,40,,1845000,2020-12-21,1.1,900,,3,3
407,119,,,2020-07-07,29.92,232200,,3,4
401,9,,69000,2020-05-14,2.7,100,,3,5
409,72,,248300,2020-05-14,241,19100,,3,6
410,2,,112133,2020-05-14,28.4,1700,,3,7
410,3,,396933,2020-05-14,26,26400,,3,8
413,24,,525000,2020-04-04,2,67900,,3,9
403,32,,,2020-03-23,3.5,221800,,3,10
405,14,,17000,2020-03-18,13.64,1500,,3,11
403,5,,,2019-12-19,41.08,13900,,3,12
405,42,1000,,2019-10-17,49.5,415500,,3,13